"1","Zachary Adams","499.41","Medium"
"2","Shane Thomas","5118.139999999999","High"
"3","Alexa Zhang","1245.89","High"
"4","Hayden Perez","2385.52","High"
"5","Todd Fleming","3176.12","High"
"6","Mitchell Gay","3114.38","High"
"7","Lori Robinson","1637.69","High"
"8","Joseph Cook","7116.4","High"
"9","Paul Baxter","2825.94","High"
"10","Margaret Perez","4285.34","High"
"11","Dominique Lee MD","4194.18","High"
"12","David Mcneil","3102.45","High"
"13","Lori Myers","1635.31","High"
"14","Leslie Perry","1001.5","High"
"15","Sheri Burke","2023.85","High"
"16","Natalie Trujillo","202.6","Medium"
"17","Cody Vasquez","829.23","High"
"18","Elizabeth Kelly","4193.4","High"
"19","Melissa Newman PhD","6126.410000000001","High"
"20","Sharon Flores","3112.9700000000003","High"
"21","Amy Williams DVM","2533.14","High"
"22","Eric Walsh","415.37","Medium"
"23","Zachary Cook","217.78","Medium"
"24","Jessica Wilcox","2467.9399999999996","High"
"25","Martha Soto","6523.879999999999","High"
"26","Christopher Nichols","3124.52","High"
"27","Shane White","5442.68","High"
"28","Glenn Watson","4574.6","High"
"29","Lisa Hanna","1376.0300000000002","High"
"30","Patricia Sherman","2751.68","High"
"31","David Schroeder","7321.92","High"
"32","Cassie Beasley","6164.64","High"
"33","Gina Roberts","5034.929999999999","High"
"34","Douglas Jacobs","7167.009999999999","High"
"35","Lisa Griffin","4759.18","High"
"36","Jessica Levine","3025.1400000000003","High"
"37","Michelle Craig","1377.82","High"
"38","Jessica Lopez","4399.75","High"
"39","Brandon Austin","1209.6399999999999","High"
"40","Jennifer Hubbard","1283.1299999999999","High"
"41","Tonya Ellis","2057.59","High"
"42","Eric Arias","6004.07","High"
"43","James Mahoney","2095.57","High"
"44","Alyssa Hunter","4641.8099999999995","High"
"45","Jennifer Wade","2010.73","High"
"46","Mitchell Price","972.35","High"
"47","Teresa Brown","1547.74","High"
"48","Michelle Palmer","1830.4","High"
"49","Dawn Ali","4744.45","High"
"50","Lucas Kelley MD","3142.3399999999997","High"
"51","Crystal Knapp","2634.5699999999997","High"
"52","Danielle Fernandez","3910.6","High"
"53","Rick Cooper","2654.6499999999996","High"
"54","Denise Oliver","2202.59","High"
"55","Kathryn Cabrera","1611.59","High"
"56","Rachel Harris","4666.05","High"
"57","Joshua Fox","2891.8","High"
"58","Cynthia Stephens","1604.5400000000002","High"
"59","Tanya Stanley","640.94","High"
"60","Ashley Blanchard","3066.82","High"
"61","James Evans Jr.","4117.04","High"
"62","Valerie Castillo","4791.53","High"
"63","Luis Case","2774.6600000000003","High"
"64","Brian Blankenship","4761.29","High"
"65","Megan Young","3066.7400000000002","High"
"66","Victor Campbell","2771.63","High"
"67","Anthony Young","1625.9799999999998","High"
"68","Sandra Johnson","3282.9700000000003","High"
"69","Alexandra Bell","3052.18","High"
"70","Russell Glenn","2822.1400000000003","High"
"71","Bryan Carr","1441.89","High"
"72","Mary Smith","2794.02","High"
"73","Ashley Ford","1093.45","High"
"74","Barbara Martin","2039.8","High"
"75","Steven Smith","3036.1099999999997","High"
"76","Alexander Owen","2269.6499999999996","High"
"77","Kelsey Elliott","364.47","Medium"
"78","Nicholas Brown","4152.1","High"
"79","Gerald Cisneros","1919.08","High"
"80","Jenna Alvarez","1233.58","High"
"81","Sean Andrews","527.7","High"
"82","Jacqueline James","3576.9999999999995","High"
"83","David Nunez","2532.2","High"
"84","Christian Phelps","3036.49","High"
"85","Jeffrey Hunter","3336.21","High"
"86","Robert Hurst","2239.1299999999997","High"
"87","Frank Henry","1978.58","High"
"88","Tamara Kramer","492.71999999999997","Medium"
"89","Whitney Turner MD","3245.13","High"
"90","Marcus White","1364.8899999999999","High"
"91","Linda Mitchell","4065.5899999999997","High"
"92","Angela Powell","506.35","High"
"93","Mary Chang","865.43","High"
"94","Jennifer Molina","2033.1299999999999","High"
"95","Russell Delgado","2337.4900000000002","High"
"96","Juan Adams","1465.3600000000001","High"
"97","Daniel Perry","1936.4499999999998","High"
"98","Tammy Richards","1547.21","High"
"99","Susan Jones","2020.1399999999999","High"
"100","Tammy Woods","2669.72","High"
"101","Megan Burgess","5280.61","High"
"102","Julie Myers","3346.2","High"
"103","Natalie Hardin","2802.44","High"
"104","Mitchell Ortiz","1258.58","High"
"105","Jonathan Stanton","769.3000000000001","High"
"106","Francisco Black","3940.18","High"
"107","Brian Suarez","2477.84","High"
"108","Manuel Jones","4254.43","High"
"109","Brooke Burton","212.05","Medium"
"110","Charles Rogers","2182.99","High"
"111","Sarah Allen","1553.59","High"
"112","Angel Bailey","562.02","High"
"113","Jacqueline Ramirez","508.63","High"
"114","Nancy Hernandez","1995.75","High"
"115","Tyler Sherman","774.59","High"
"116","Jeremy Cruz","4071.4900000000002","High"
"117","Melinda Smith","5170.570000000001","High"
"118","Jessica Cordova","5983.58","High"
"119","Angela Lara","5764.76","High"
"120","Christopher Boyd","511.55","High"
"121","William Brown","9366.32","High"
"122","Brittany Rodriguez","3378.98","High"
"123","Caleb Munoz","3421.36","High"
"124","Seth Bean","1530.7900000000002","High"
"125","Daniel Bailey","7568.679999999999","High"
"126","Jennifer Wilson","6213.339999999999","High"
"127","Sharon Jones","4203.589999999999","High"
"128","Albert Deleon","3262.0699999999997","High"
"129","William Medina","586.15","High"
"130","Julie Nelson","4018.4399999999996","High"
"131","Keith Smith","1862.82","High"
"132","Miranda Garcia","4295.41","High"
"133","Jason Ellis","2898.1800000000003","High"
"134","April Doyle","1135.65","High"
"135","Janet Espinoza","5741.8","High"
"136","Cheryl Sheppard","2518.04","High"
"137","Scott Nolan","3235.02","High"
"138","James Gibson","3107.2000000000003","High"
"139","Donald Mcintosh","704.57","High"
"140","Dawn Moore","1672.94","High"
"141","Eric Burke","2948.11","High"
"142","Kristin Hebert","510.17","High"
"143","Miss Teresa Thomas MD","657.52","High"
"144","Michelle Galloway","700.7099999999999","High"
"145","Carla Huang","4071.63","High"
"146","Andrea Wood","526.49","High"
"147","Isaac Barnett","2162.5299999999997","High"
"148","Sandra King","3304.8700000000003","High"
"149","Deborah Thompson","5657.599999999999","High"
"150","Ariel Baldwin","492.13","Medium"
"151","Timothy Clark","1366.11","High"
"152","Alexis Weaver","6917.96","High"
"153","Jason Ward","3429.18","High"
"154","Pamela Rasmussen","1111.67","High"
"155","Kelly Lynch","6725.92","High"
"156","Jeremy Moore","2515.33","High"
"157","Alyssa Watkins","3705.6","High"
"158","David Perez","4060.28","High"
"159","Erin Hill","6110.49","High"
"160","Andrea Schmidt","1546.8899999999999","High"
"161","Amy Bell","3065.5299999999997","High"
"162","Leslie Baxter","2952.66","High"
"163","Donna Ray","876.89","High"
"164","Steven Davis","1641.2","High"
"165","Kevin Rogers","3135.9800000000005","High"
"166","Johnathan Anderson","4136.83","High"
"167","Kent Garrett","3418.42","High"
"168","Ian Blevins","1696.2099999999998","High"
"169","Beth Riley","2843.47","High"
"170","Nicholas Li","3736.7","High"
"171","Christopher Waller","3191.38","High"
"172","Matthew Gray","5842.03","High"
"173","Jamie Christensen","1575.3200000000002","High"
"174","Patrick Vega","3404.7000000000003","High"
"175","Christopher Santos","1757.3600000000001","High"
"176","Jay Jones","835.16","High"
"177","Monica Mcgee","566.18","High"
"178","Jimmy Mora","1750.02","High"
"179","Anthony Porter","4725.51","High"
"180","Nicholas Gibbs","1666.5399999999997","High"
